지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),전운량(10분위)
106,동해,2024-06-30 01:00,20.9,1.7,1.7,96,,,10
106,동해,2024-06-30 02:00,21,1.4,.9,96,,,10
106,동해,2024-06-30 03:00,20.8,.2,.8,96,,,10
106,동해,2024-06-30 04:00,21.5,,.7,96,,,10
106,동해,2024-06-30 05:00,22,,1.1,97,,,10
106,동해,2024-06-30 06:00,21.1,,1.6,96,0,.04,10
106,동해,2024-06-30 07:00,21.5,,1.1,95,0,.18,10
106,동해,2024-06-30 08:00,21.5,,1.7,91,0,.4,10
106,동해,2024-06-30 09:00,21.5,,1.2,93,0,.42,9
106,동해,2024-06-30 10:00,24,,.9,91,0,.67,10
106,동해,2024-06-30 11:00,27,,3,80,0,.62,9
106,동해,2024-06-30 12:00,29.1,,3.3,66,0,1.02,9
106,동해,2024-06-30 13:00,28.6,,2,63,0,1.51,9
106,동해,2024-06-30 14:00,24.2,,6.2,81,0,1.09,8
106,동해,2024-06-30 15:00,23.8,,5.4,83,.1,1,8
106,동해,2024-06-30 16:00,25.3,,5.1,78,.4,1.24,8
106,동해,2024-06-30 17:00,24.9,,5.1,78,.8,1.88,8
106,동해,2024-06-30 18:00,21.7,,1.7,90,.1,.64,6
106,동해,2024-06-30 19:00,22.3,,2.2,89,0,.17,8
106,동해,2024-06-30 20:00,21.9,,.7,89,0,.03,2
106,동해,2024-06-30 21:00,21.6,,2.1,91,,,3
106,동해,2024-06-30 22:00,21.5,,1.8,92,,,7
106,동해,2024-06-30 23:00,20.6,,1.4,95,,,7
106,동해,2024-07-01 00:00,20.3,,.7,96,,,7
106,동해,2024-07-01 01:00,20,,1.4,97,,,7
106,동해,2024-07-01 02:00,19.5,,1.3,97,,,8
106,동해,2024-07-01 03:00,18.9,,.8,97,,,5
106,동해,2024-07-01 04:00,19.2,,1,98,,,0
106,동해,2024-07-01 05:00,19.1,,.8,97,,,0
106,동해,2024-07-01 06:00,20.1,,1.9,96,.1,.09,0
106,동해,2024-07-01 07:00,23.6,,1.4,84,1,.63,0
